Gene Symbol	t_shTEAD4	p.value_shTEAD4	FDR_shTEAD4	t_shMYCN	p.value_shMYCN	FDR_shMYCN	
YWHAE	3.61441397380921	0.00814850034080833	0.0311724721581554	-80.4292959233325	6.43569603542706E-12	1.16994518228029E-07	
C3orf26	-10.0649839626815	0.0000167368615940607	0.000369246853056347	-46.4359654374808	3.357320311418E-10	7.47823231469916E-07	
FTH1	-0.385429304209689	0.711036100012764	0.800317334043219	-47.5125498664449	2.84717171582741E-10	7.47823231469916E-07	
IDH1	-10.1075836638093	0.0000162639861652929	0.000362776692636638	-46.4321666730991	3.3592958784975E-10	7.47823231469916E-07	
MYL12A	2.28106762164765	0.0554691026404067	0.129212303549456	-45.8085679333146	3.70229885209816E-10	7.47823231469916E-07	
MYL12B	0.86518257776243	0.414788329590639	0.55451503101251	-49.3840502645986	2.15644311619211E-10	7.47823231469916E-07	
NCL	3.42075854525167	0.0106259855476502	0.0378615819817195	-54.3369369625425	1.08416093559562E-10	7.47823231469916E-07	
PCBP2	3.43479123358554	0.0104216717384101	0.0373900869414955	-46.417792616308	3.36678316649584E-10	7.47823231469916E-07	
UNG	-18.9689406797984	2.0280012803721E-07	0.0000245754854493412	-47.8334254606798	2.71263444458901E-10	7.47823231469916E-07	
TULP3	25.9471015959734	2.18139295216366E-08	9.79813540937888E-06	44.7233663790916	4.39875777629804E-10	7.9965017615322E-07	
COPZ1	4.6758185265071	0.00209852625607528	0.011290058836695	-40.9267714523962	8.32175529769276E-10	1.35529978124159E-06	
METTL9	-7.71537717555754	0.0000983079587797285	0.00122827517708363	-40.5165420711144	8.94636524280716E-10	1.35529978124159E-06	
ARL6IP1	-22.1881027316864	6.66036436103127E-08	0.0000142445604375515	-39.016913907056	1.17299881573852E-09	1.54421680815686E-06	
RPIA	1.83348395797578	0.108139166174204	0.210095319213515	-38.9423186785726	1.18923127312812E-09	1.54421680815686E-06	
FSCN1	-1.24608363512232	0.251686073497519	0.389197101914886	-38.1583533347985	1.3762270294169E-09	1.66789541118465E-06	
C7orf73	-3.38547239896857	0.011158972978149	0.0393595207159041	-35.6404566223823	2.24643900164781E-09	2.40223615358562E-06	
MORN2	5.70318066817541	0.000658855078155388	0.00480438285831801	-35.7435247464026	2.20036777877611E-09	2.40223615358562E-06	
RPUSD4	6.41913500226761	0.000318415021435049	0.00281951615911727	-35.0634614949498	2.5255469891374E-09	2.55066215086271E-06	
DPYSL2	-8.51255017559118	0.0000515072375833488	0.000780929304799555	-34.0750022672995	3.10057234156199E-09	2.81826522986277E-06	
WDR12	-0.472632059597776	0.650445073053459	0.753389040015217	-34.2323149508892	2.99981249501485E-09	2.81826522986277E-06	
FOXRED2	-10.9307974722925	9.53694598042063E-06	0.000250328340853923	-33.2663673334844	3.68335124978212E-09	3.18855439856139E-06	
CKS1B	-17.2192141280863	4.02105539670601E-07	0.0000336860673072436	-32.7316491711908	4.13713853760777E-09	3.27151320674784E-06	
GNB1	1.69588813553448	0.132464299012727	0.243582564261867	-32.7294787495575	4.13910576793004E-09	3.27151320674784E-06	
LOC649395	1.57449833348878	0.158118164861076	0.277883808875628	-32.4550714975193	4.39662005543643E-09	3.33025649949079E-06	
POMGNT1	-0.34252444561385	0.741722770438683	0.823487128606621	-31.8027130769475	5.08538843457669E-09	3.69789105408678E-06	
LMNB2	-8.28288713349215	0.0000617208638588886	0.000886274552994262	-31.371688137974	5.60778354028367E-09	3.92091911456988E-06	
PDCD4	13.8969366559898	1.81173956818405E-06	0.0000840096717927327	-30.230532402679	7.31251880699719E-09	4.92349182934822E-06	
TMEM9B	-7.71800453851002	0.0000980901011833218	0.00122639611376314	-29.6276813783294	8.44713669564745E-09	5.48430349964911E-06	
TIMM17A	-7.48110977803867	0.000120110321103882	0.00142396880906013	-29.3969387795551	8.93344799734272E-09	5.60003969461012E-06	
DARS2	-7.33653690946544	0.000136256751103233	0.00155591173260406	-29.1665903760429	9.45094898097137E-09	5.72696005083595E-06	
ARPC3	32.2835804137245	4.56679811289548E-09	6.91831857452725E-06	29.0279913664252	9.77872991940921E-09	5.73443649048194E-06	
MCCC2	-3.06775466690627	0.0174687938356954	0.0553219638495623	-28.7915736338182	1.03681490330496E-08	5.89008066474404E-06	
REEP5	5.81481081663958	0.000585843696267571	0.00439721410175399	-28.5786465019462	1.09337945000683E-08	6.02319546111337E-06	
ADPGK	-5.65967304643424	0.000690009257553778	0.00498358295314665	-27.7580554042368	1.34675632317396E-08	6.35710894384517E-06	
CDH11	-10.7270179679296	0.0000108468562407114	0.000275783216223625	27.709259161628	1.36381125919997E-08	6.35710894384517E-06	
SCG2	7.81940863120989	0.0000900824528743915	0.00116060163770628	-28.0307811114791	1.25578787415915E-08	6.35710894384517E-06	
SERINC5	-4.41589726533443	0.00288041011198749	0.0143499521583504	-27.94711612927	1.2829295574327E-08	6.35710894384517E-06	
TPM3	-1.25497722849683	0.248623776229795	0.385978198180924	-27.7605580803618	1.34588816688211E-08	6.35710894384517E-06	
TSG101	-11.5316070644958	6.60561842813951E-06	0.000197831198361035	-27.8510412779268	1.31492378876839E-08	6.35710894384517E-06	
ARNTL	13.3425558305528	2.40627456996696E-06	0.0000981958181619632	27.0793614333646	1.60755523791716E-08	6.72379639898602E-06	
DCN	4.16652567339562	0.00394005016517883	0.0181769954907092	27.3457465324329	1.49888587447742E-08	6.72379639898602E-06	
E2F5	12.1408376545736	0.000004631402359518	0.000156494913557022	-27.1675721557289	1.57060766763969E-08	6.72379639898602E-06	
ILF2	-4.33589259434203	0.00318172416671898	0.0154987794124292	-27.1594394147607	1.57397338438645E-08	6.72379639898602E-06	
P4HA1	5.88165108136643	0.000546464989350048	0.00418457752375506	-27.0329041986535	1.62741097725609E-08	6.72379639898602E-06	
COX7C	28.6030449594105	1.08672304807009E-08	9.00956255625283E-06	26.9195545271332	1.67703793571495E-08	6.76961520647447E-06	
FOPNL	-1.48996692700875	0.178610148671518	0.304449497674593	-26.8398221182869	1.71297815885266E-08	6.76961520647447E-06	
DCAF12	-2.04456224798645	0.0789867052801034	0.167217807766042	-26.6630786790657	1.79581472417247E-08	6.80127413973569E-06	
SF3B3	-5.38043546390596	0.000933596137704291	0.00620542749079572	-26.6673494511439	1.79376012619092E-08	6.80127413973569E-06	
KLF16	-2.87592977252612	0.0230353938968013	0.0680247605019415	-26.5678906876273	1.8423101490912E-08	6.83497065312836E-06	
CCDC90B	20.0233072971684	1.3818293937978E-07	0.0000191757836258398	26.2146959705844	2.02720594614567E-08	0.0000070870340182658	
DNAJA1	-16.6344690314338	5.13075757054772E-07	0.0000386462168849275	-26.3209205761474	1.96946627245867E-08	0.0000070870340182658	
NKAIN1	-0.982334481292917	0.357733990356734	0.500673355200175	-26.2699129911363	1.99695529556681E-08	0.0000070870340182658	
NIP7	0.960059900394857	0.368098887975042	0.510853476181257	-26.1095742804266	2.08624894166951E-08	7.15583386992641E-06	
MFSD1	-3.54395978747366	0.0089691849955399	0.0334944153726211	-25.8485027570538	2.24153546100119E-08	7.54608761954456E-06	
KIFAP3	2.50113919795907	0.0399634826374316	0.102150752371466	-25.7016734193147	2.33462587008524E-08	7.71657521677811E-06	
HDDC2	1.30799996399251	0.231019582765682	0.365827961245413	-25.447732267369	2.50619834721564E-08	7.85480606618452E-06	
LIG3	-1.54567172756449	0.164851314387081	0.28669553904127	-25.3711917403376	2.56069256533495E-08	7.85480606618452E-06	
PLK2	-2.21060872316126	0.0616280752040726	0.13917227069998	25.2688215082333	2.63569596807996E-08	7.85480606618452E-06	
PRPS2	-18.0888581111286	2.83879382413484E-07	0.0000294931068061087	-25.2965209917363	2.61515774730374E-08	7.85480606618452E-06	
RALB	-9.02077491475553	0.0000350082654878188	0.000604382961351432	-25.4806140990744	2.48319353515355E-08	7.85480606618452E-06	
TCTN3	1.58074386329679	0.156693109593864	0.276260696276487	-25.4318149102968	2.51742145867806E-08	7.85480606618452E-06	
TMED10	10.6858026516733	0.0000111358762068255	0.000280386556182659	-25.1164181983756	2.75203245910651E-08	8.06922549582215E-06	
CYCS	-6.68026812396899	0.000247845506472791	0.00237761660272763	-25.0569671471025	2.79898915714038E-08	8.07663871232619E-06	
G3BP1	-1.66888908541913	0.137809053527279	0.251325988218525	-24.9125787331923	2.91687488448066E-08	8.28505473601454E-06	
STMN1	-9.80251788303341	0.0000200171556566832	0.00041351349168505	-24.8586256012833	2.96236623489161E-08	8.28505473601454E-06	
SYT4	-1.95955988134344	0.0896645446164916	0.182781985869309	24.7761358399118	3.03348728659805E-08	0.0000082866185453855	
TCEA1	1.92343039909379	0.0946198923899727	0.190044749061685	-24.7229641107383	3.08035979181184E-08	0.0000082866185453855	
VDAC1	5.56036738229392	0.000767443762180933	0.00538039342564103	-24.7013193380255	3.09967578572097E-08	0.0000082866185453855	
RAB11FIP1	2.72792107961237	0.0285925154187982	0.0796988112356202	-24.5722990865054	3.21771290257483E-08	8.47750766027649E-06	
ODC1	4.22872906895049	0.00364072666354335	0.0171418725761602	-24.454671657721	3.32979842454276E-08	8.64748650853755E-06	
CDC25A	-12.8363122742626	0.0000031486901914765	0.000118755267615874	-24.3076415230566	3.47619787317296E-08	8.77691682450157E-06	
TMBIM6	13.1669528130535	2.63864878150988E-06	0.000103826831599715	24.3354417644941	3.44796461309683E-08	8.77691682450157E-06	
MRPL15	-2.68023791818056	0.0306676104494851	0.0837222541464469	-24.192102356951	3.59638779517027E-08	8.95599092169868E-06	
CYB561	-0.0940081872979179	0.92766128127963	0.953304377183855	-23.9858146008863	3.82292249460538E-08	9.02557247135469E-06	
OIP5	-17.2986119799616	3.89255440391404E-07	0.0000331661472752707	-23.9965965623466	3.81068803366912E-08	9.02557247135469E-06	
PI4K2B	-9.30774357349172	0.0000283799355304189	0.000522714131719842	-24.018359726934	3.78612841371355E-08	9.02557247135469E-06	
SH3D19	1.78097529210592	0.116871879098147	0.221868618434128	-24.0803349608163	3.71716992826547E-08	9.02557247135469E-06	
ATIC	-2.25709979099524	0.0574913087164078	0.132396929661595	-23.9420566949078	3.87303587204973E-08	9.02665629717847E-06	
CAD	-1.39552153509874	0.204321652669767	0.335518554880982	-23.8154473029489	4.0222940412541E-08	0.0000091401604219948	
CDKAL1	-5.9477964936722	0.000510377672233298	0.00397181322925048	-23.8323036501867	4.00204979019547E-08	0.0000091401604219948	
MCM3	-14.5747120369991	1.29873475426233E-06	0.0000670730088003833	-23.7530034616167	4.09830956594368E-08	9.19792217275187E-06	
AKR1B1	-6.06454068430315	0.000452986746983239	0.00362130434186821	-23.6850081933666	4.18294702784644E-08	9.27338951453908E-06	
C5orf15	-0.366146096629292	0.724761556819554	0.810696550665929	-23.6359672663094	4.24522513358249E-08	9.29806598836098E-06	
MPDU1	-6.6948730672627	0.000244449996360642	0.00235373754440684	-23.5376231274751	4.37331831760599E-08	9.46458972568563E-06	
ACBD5	-2.27747233925354	0.0557678034066377	0.129592598508151	-23.2428627588885	4.78436776184044E-08	9.53836106829693E-06	
ACCN2	10.2250041118056	0.0000150368479610948	0.00034470978447004	23.2348505850843	4.7961389024256E-08	9.53836106829693E-06	
EFNB2	-0.423202708704385	0.684482183099436	0.780235866977969	23.2478217904371	4.77709862457455E-08	9.53836106829693E-06	
PPP3CA	-3.52856146574488	0.00916015318025018	0.0340188814430578	-23.4026078496132	4.55639805041744E-08	9.53836106829693E-06	
PRKX	3.81053888714611	0.006262126894071	0.0255916199901316	-23.2696408036359	4.7452643019982E-08	9.53836106829693E-06	
PRSS12	4.05923428932963	0.00452147129173144	0.0199998354923315	23.3183918207698	4.67500344525898E-08	9.53836106829693E-06	
SLC25A30	2.67446801943737	0.0309291231986026	0.0842532617123545	-23.2138430715204	4.82715891018933E-08	9.53836106829693E-06	
TNFRSF10B	3.19380577886561	0.0146002390109173	0.0483016824348434	-23.2478857367384	4.7770049716951E-08	9.53836106829693E-06	
LYAR	-3.7463084178603	0.00682185294599751	0.0273099459822261	-23.037319255671	5.0970228725262E-08	9.96330954834987E-06	
RHOB	11.941931776153	5.19116014092983E-06	0.000169122043372694	22.9490684406542	5.23834296214949E-08	0.0000101306209264804	
BICD2	-10.6889052745258	0.0000111138186544589	0.000280219291705144	22.8979701980954	5.32220310344532E-08	0.0000101533657109863	
SLC29A1	-8.61058365771217	0.000047738939674077	0.000748143262357797	-22.8741550571174	5.36180817566801E-08	0.0000101533657109863	
LOC100287803	7.51305281568861	0.00011683990432238	0.00139555362725134	-22.8374792077691	5.42345803513084E-08	0.0000101642313010973	
THOC7	-1.63353961851191	0.145112452421867	0.261156156697838	-22.7906068576789	5.50342419771788E-08	0.0000102088518867667	
WDR77	-4.91701968396502	0.00157796550010266	0.00915602771349066	-22.7054229246176	5.65220794547168E-08	0.0000103789382061343	
C6orf115	-1.62624755031103	0.146663255999577	0.263288202443849	-22.2858504137186	6.45515054161417E-08	0.0000117016896454038	
DERA	-8.5371543751593	0.0000505309207304023	0.000770638932850657	-22.2084277927282	6.61708986323195E-08	0.0000117016896454038	
PFKM	4.21625269749881	0.00369871027830679	0.0173534005953743	-22.2023320238481	6.6300348395214E-08	0.0000117016896454038	
POM121	-7.93336019618889	0.0000819485982678586	0.00108107449647655	-22.2502549459137	6.52903676386828E-08	0.0000117016896454038	
ASCL1	0.25467903392727	0.806080905213545	0.871513953091149	-21.9658472169017	7.15517957612008E-08	0.0000118249099558443	
CORIN	1.77935794007804	0.11715128596205	0.222236588490463	21.9919868983005	7.09486784651792E-08	0.0000118249099558443	
COX16	0.462388219469598	0.65742989037501	0.758230204437558	-22.0643308114684	6.93094038676635E-08	0.0000118249099558443	
LMAN1	-5.15980177612236	0.00119421535440415	0.00747662864465726	-21.9777117141254	7.12773284179444E-08	0.0000118249099558443	
PPP1R16B	8.31909249723378	0.0000599690255652946	0.000870748335264768	21.9731776402519	7.1382075870701E-08	0.0000118249099558443	
TNPO2	-6.62152628858466	0.000262045910745945	0.00246442452739293	-22.0280203785506	7.01267336164486E-08	0.0000118249099558443	
USP2	-8.91984905896207	0.0000377417964200405	0.000633525500572406	-22.0606756290589	6.93911880999318E-08	0.0000118249099558443	
ANKRD40	18.0009873681873	2.93826736765407E-07	0.0000298406494282589	21.8686954739559	7.38450152039431E-08	0.0000118798985078981	
CTNNAL1	-10.0462294345599	0.0000169499559104107	0.000371244877705248	-21.8926313382045	7.32723599389257E-08	0.0000118798985078981	
OCIAD1	4.19193633841147	0.00381464275677549	0.0177356497891104	-21.8885205662941	7.33703483270358E-08	0.0000118798985078981	
CNIH4	-6.06744199675799	0.000451655234416386	0.00361702224953986	-21.7797450319256	7.60181541614773E-08	0.0000120412861036469	
OSBPL1A	-6.3324911466192	0.00034659484067023	0.00299892794314332	-21.7735198942993	7.61729414114853E-08	0.0000120412861036469	
COMT	3.33209920203198	0.0120203142939814	0.0416620197426669	-21.5942049730133	8.0789197799972E-08	0.0000124258545233189	
COX5B	1.80470396068328	0.112845063234897	0.216507694411313	-21.6177400032845	8.01655511646164E-08	0.0000124258545233189	
PIGH	-5.51701716904819	0.0008042369378573	0.00556325087264378	-21.6469382682565	7.93994287251994E-08	0.0000124258545233189	
TAGLN2	-5.64473650842345	0.000701079905278212	0.00503669289104616	-21.5735965411935	8.13398255280793E-08	0.0000124258545233189	
MRPL45	10.0432188463448	0.0000169844478436121	0.000371384881889982	-21.504632903534	8.32136999030568E-08	0.0000126061820878139	
